"gene","0-90d CCD/HD log2 fold-change","0-90d CCD/HD p-value","0-90d CCD/HD FDR","90-120d CCD/HD log2 fold-change","90-120d CCD/HD p-value","90-120d CCD/HD FDR","120-150d CCD/HD log2 fold-change","120-150d CCD/HD p-value","120-150d CCD/HD FDR","150-360d CCD/HD log2 fold-change","150-360d CCD/HD p-value","150-360d CCD/HD FDR"
"UBA52",-0.100409484617296,0.0251434598345438,0.0813217341092149,-0.0314127121117434,0.47222701165481,0.620801836750286,-0.153946948329185,0.00365516342447034,0.0133535647048568,-0.0503642746783666,0.282858026264375,0.520772240396411
"XCL1.2",0.124369307223503,0.219776706029598,0.363007251625811,0.224415099536031,0.0580965386783275,0.158135219998267,0.133481068211618,0.1788770003988,0.289878241736421,0.0472953437845757,0.661945778474017,0.820006549295537
"RGMA",-0.029095079366093,0.797025149816258,0.887932600049769,-0.136829636244731,0.268713508829632,0.425850399312698,-0.0684252381976229,0.503501872905199,0.619756286235221,-0.132754797425239,0.172793555902382,0.402074171710859
"CXCL1",0.16305886979967,0.142257275487748,0.271518207288961,0.260723053192342,0.0395130135667604,0.124929897261021,0.206021101919619,0.122913303567203,0.218418353235513,0.29313808853714,0.0114274396308636,0.0750573454763565
"BPI",-0.0912535943647301,0.55290133260836,0.699497103283572,0.00974750520552506,0.95661466634963,0.965356575833243,0.132994635442875,0.463200619258702,0.585055684129047,0.194325810953022,0.28559238016353,0.521898132071888
"AKT2",-0.0105396726770006,0.721214458283731,0.837085249629615,0.0133283249278094,0.657239252008654,0.764240469180686,-0.0828440115564976,0.0219445976438363,0.0561694502605478,-0.00255729044868516,0.926200378334678,0.970994060923105
"PELI1",-0.155308424179882,0.0621678487225942,0.155520217030956,-0.10745207690607,0.284970715991649,0.440811974967736,-0.201605940778508,0.0467380795874129,0.10263788500304,-0.33136844021439,0.000110871220425787,0.00474970502972473
"IL6R",-0.179887433810677,0.00925949131466914,0.0409004959213671,-0.216000729756072,0.009842160107849,0.0481518339453625,-0.128092342514657,0.131200435674439,0.231020357121507,0.0056795155440091,0.939933579001611,0.976570774957319
"TNFSF10",-0.148587035198217,0.229991144607788,0.372711016314088,-0.204462958792742,0.0999279593732422,0.226149871397684,0.0486135720086347,0.70194970608539,0.784114339312148,0.117636557066482,0.270579894638911,0.510142094038727
"TRIM25",-0.0074403146078735,0.932162232506815,0.968496513074957,-0.0517579788202047,0.559251223811441,0.699446295885194,0.166859713001896,0.0516298599516777,0.110860782618463,0.0158322303740266,0.84768398238542,0.931033947005068
